borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000001,City of London,Beauty & Wellness,1095,1,20,42.4
E09000031,Waltham Forest,Beauty & Wellness,1070,1,21,39.4
E09000011,Greenwich,Beauty & Wellness,980,1,22,36.4
E09000025,Newham,Beauty & Wellness,975,1,23,33.3
E09000018,Hounslow,Beauty & Wellness,965,1,24,30.3
E09000017,Hillingdon,Beauty & Wellness,950,1,25,27.3
E09000026,Redbridge,Beauty & Wellness,895,1,26,24.2
E09000015,Harrow,Beauty & Wellness,865,1,27,21.2
E09000024,Merton,Beauty & Wellness,825,1,28,18.2
E09000016,Havering,Beauty & Wellness,735,1,29,15.2
E09000021,Kingston upon Thames,Beauty & Wellness,670,1,30,12.1
E09000029,Sutton,Beauty & Wellness,620,1,31,9.1
E09000004,Bexley,Beauty & Wellness,615,1,32,6.1
E09000002,Barking and Dagenham,Beauty & Wellness,445,1,33,3.0
E09000033,Westminster,Blinds & Shutters,5495,1,1,100.0
E09000007,Camden,Blinds & Shutters,3760,1,2,97.0
E09000019,Islington,Blinds & Shutters,2150,1,3,93.9
E09000012,Hackney,Blinds & Shutters,2055,1,4,90.9
E09000003,Barnet,Blinds & Shutters,1825,1,5,87.9
E09000028,Southwark,Blinds & Shutters,1685,1,6,84.8
E09000032,Wandsworth,Blinds & Shutters,1575,1,7,81.8
E09000030,Tower Hamlets,Blinds & Shutters,1500,1,8,78.8
E09000022,Lambeth,Blinds & Shutters,1480,1,9,75.8
E09000014,Haringey,Blinds & Shutters,1450,1,10,72.7
E09000020,Kensington and Chelsea,Blinds & Shutters,1400,1,11,69.7
E09000009,Ealing,Blinds & Shutters,1350,1,12,66.7
